concessionaria;n_ai_ni;data_da_infracao;trecho;dispositivo_infringido;decisao;valor_da_penalidade;pagamento;data;status
RMO;AI/005/2016/GEAFI;22/06/2016;N/A;Resolução nº 2495/07, art. 1º, Inciso I;Advertência;0;0;;ARQUIVADO-ADVERTIDO
RMS;AI/004/2016/GEAFI;22/06/2016;N/A;Resolução nº 2495/07, art. 1º, Inciso I;Advertência;0;0;;ARQUIVADO-ADVERTIDO
FCA;AI/606/URMG/2016;30/06/2016;ZBL/ZUB;Inciso X, Cláusula Quarta, Arrendamento;Multa;205800;0;;EM TRÂMITE
FCA;AI/604/2016/COFER-URMG/GECOF/SUFER/ANTT;30/06/2016;ZBL/ZUB;Inciso I, Art. 4º, RTF;Multa;50000;0;;EM TRÂMITE
RUMO;NA/002/2016/GEAFI;05/07/2016;N/A;Deliberação nº 101/12, art 2º, §1º, inc. II;Advertência;0;0;;EM TRÂMITE
RUMO;NA/001/2016/GEAFI;05/07/2016;N/A;Deliberação nº 101/12, art 2º, §1º, inc. I;Advertência;0;0;;ARQUIVADO-ADVERTIDO
FCA;AI/607/URMG/2016;07/07/2016;Barão de Camargo a Recreio e Recreio a Campos;Inciso X, Cláusula Quarta, Contrato de Arrendamento;Multa;205800;0;;EM TRÂMITE
FCA;AI/380/2016/COFER-URMG/GECOF/SUFER/ANTT;07/07/2016;Barão de Camargos a Recreio e Recreio a Campos;Inciso XIV, Item 9.1, Cláusula Nona, Contrato de Concessão;Multa;205800;0;;EM TRÂMITE
MRS;AI/003/2016/GEAFI;20/07/2016;N/A;Resolução nº 3847/12, art. 3º;Advertência;0;0;;ARQUIVADO-ADVERTIDO
RMS;AI/886/URRS/2016;21/07/2016;Erechim/RS (Perimentro Urbano);Inciso X, Cláusula Quarta, Contrato de Arrendamento;Multa;268500;0;;EM TRÂMITE
RUMO;NA/004/2016/GEAFI;28/07/2016;N/A;Deliberação nº 101/12, art 3º;Advertência;0;0;;EM TRÂMITE
FCA;AI/231/2016/COFER-URMG/GECOF/SUFER/ANTT;29/07/2016;Barra Mansa a Angra dos Reis;Inciso X, Cláusula Quarta, Contrato de Arrendamento;Multa;1474502,35;0;;EM TRÂMITE
RMO;NI/199/URSP/2016;02/08/2016;Trecho Mairinque - Três Lagoas;Inciso I, art. 4º, RTF;Multa;50000;0;;EM TRÂMITE
FCA;AI/333/2016/COFER-URMG/GECOF/SUFER/ANTT;03/08/2016;trecho três rios a recreio;Inciso I, Art. 4, RTF;Multa;50000;0;;EM TRÂMITE
RMO;AI/202/COFER/URSP/2016;05/08/2016;Bauru - Corumbá;Inciso I, art. 4º, RTF;Multa;0;0;;EM TRÂMITE
